timestamp, spread, target_value, m1_ask, m1_ask_size, m1_bid, m1_bid_size, m2_ask, m2_ask_size, m2_bid, m2_bid_size
datetime, float, int, float, float, float, float, float, float, float, float
T, , , , , , , , , ,
2018-04-01 08:20:00.000000, 2.34, 5, 6700.00, 1088138.00, 6699.50, 1154194.00, 6544.00, 20956.00, 6543.50, 60499.00
2018-04-01 08:25:00.000000, 2.25, 5, 6702.00, 1555.00, 6701.50, 132483.00, 6551.50, 325.00, 6551.00, 47534.00
2018-04-01 08:30:00.000000, 2.17, 5, 6698.50, 130019.00, 6698.00, 17656.00, 6553.50, 78122.00, 6553.00, 15589.00
2018-04-01 08:35:00.000000, 2.21, 5, 6687.50, 13754.00, 6687.00, 150536.00, 6540.00, 18659.00, 6539.50, 27700.00
2018-04-01 08:40:00.000000, 2.25, 5, 6700.50, 41216.00, 6700.00, 526705.00, 6550.00, 21020.00, 6549.50, 29153.00
2018-04-01 08:45:00.000000, 2.35, 5, 6697.00, 358267.00, 6696.50, 20157.00, 6540.00, 7186.00, 6539.50, 25325.00
2018-04-01 08:50:00.000000, 2.57, 5, 6725.50, 452479.00, 6725.00, 43725.00, 6553.00, 22507.00, 6552.50, 20224.00
2018-04-01 08:55:00.000000, 2.42, 5, 6701.50, 29657.00, 6701.00, 138595.00, 6540.00, 19656.00, 6539.50, 2325.00
2018-04-01 09:00:00.000000, 2.49, 5, 6706.00, 93803.00, 6705.50, 265129.00, 6539.50, 2881.00, 6539.00, 28212.00
2018-04-01 09:05:00.000000, 2.42, 5, 6643.50, 328397.00, 6643.00, 78131.00, 6483.00, 20078.00, 6482.50, 22506.00
2018-04-01 09:10:00.000000, 2.46, 5, 6613.00, 39557.00, 6612.50, 143900.00, 6451.00, 2519.00, 6450.50, 8350.00
2018-04-01 09:15:00.000000, 2.47, 5, 6650.50, 85078.00, 6650.00, 3650.00, 6487.00, 11697.00, 6486.50, 20000.00
2018-04-01 09:20:00.000000, 2.37, 5, 6655.50, 60916.00, 6655.00, 250762.00, 6499.00, 111.00, 6498.00, 2000.00
